"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610005C13Rik"	0	NA	NA	NA	NA	NA
"0610007P14Rik"	0.742745885853662	-0.258111784252507	0.993967608611266	-0.259678265183239	0.795111959508788	0.994490002626217
"0610009B22Rik"	0.25	-0.47960771046473	0.81320293761986	-0.58977616567456	0.555340723855808	0.994490002626217
"0610009L18Rik"	0	NA	NA	NA	NA	NA
"0610009O20Rik"	2.24241508598922	0.847083599792836	1.14545771746947	0.73951538051025	0.459594103771229	0.994490002626217
"0610010B08Rik"	0	NA	NA	NA	NA	NA
"0610010F05Rik"	0.75	-0.813233299275858	0.962131744393487	-0.845241105508381	0.397976236151116	0.994490002626217
"0610010K14Rik"	0.25	-0.47960771046473	0.81320293761986	-0.58977616567456	0.555340723855808	0.994490002626217
"0610011F06Rik"	0.5	-0.569152348835295	0.859179169557337	-0.662437322739717	0.507690990953801	0.994490002626217
"0610012G03Rik"	0	NA	NA	NA	NA	NA
"0610030E20Rik"	0.752248927785963	0.217870660500195	0.996294512037515	0.218680980240099	0.826898565972763	0.994490002626217
"0610031J06Rik"	1.48146418184642	-0.0185915039904671	1.12983219652343	-0.0164551019591001	0.98687132067932	0.994490002626217
"0610031O16Rik"	0	NA	NA	NA	NA	NA
"0610037L13Rik"	1.23146418184642	0.204168915490717	1.1123905320112	0.18354068073699	0.854373802262323	0.994490002626217
"0610038B21Rik"	0	NA	NA	NA	NA	NA
"0610039K10Rik"	0	NA	NA	NA	NA	NA
"0610040B10Rik"	0	NA	NA	NA	NA	NA
"0610040F04Rik"	0	NA	NA	NA	NA	NA
"0610040J01Rik"	0	NA	NA	NA	NA	NA
"0610043K17Rik"	0	NA	NA	NA	NA	NA
"1010001N08Rik"	0	NA	NA	NA	NA	NA
"1100001G20Rik"	0	NA	NA	NA	NA	NA
"1110001J03Rik"	0.25	-0.47960771046473	0.81320293761986	-0.58977616567456	0.555340723855808	0.994490002626217
"1110002L01Rik"	0.245972410139099	0.46969695175694	0.811720171105678	0.578643932326021	0.56282945488239	0.994490002626217
"1110004E09Rik"	0.495972410139099	-0.00644982997850094	0.897628842156918	-0.00718540857377377	0.994266922769189	0.994490002626217
"1110004F10Rik"	0.512729566217738	-0.0212695212088554	0.905571275495143	-0.023487407103572	0.981261483390953	0.994490002626217
"1110006O24Rik"	0	NA	NA	NA	NA	NA
"1110007C09Rik"	0.245972410139099	0.46969695175694	0.811720171105678	0.578643932326021	0.56282945488239	0.994490002626217
"1110008F13Rik"	0.745972410139099	-0.255182481119857	0.994855377597309	-0.256502087505575	0.797563168751199	0.994490002626217
"1110008L16Rik"	1.2514478622105	0.209172762842166	1.12861768576626	0.185335358004914	0.852966006718316	0.994490002626217
"1110008P14Rik"	0	NA	NA	NA	NA	NA
"1110012L19Rik"	0.495972410139099	-0.00644982997850094	0.897628842156918	-0.00718540857377377	0.994266922769189	0.994490002626217
"1110015O18Rik"	0	NA	NA	NA	NA	NA
"1110017D15Rik"	0	NA	NA	NA	NA	NA
"1110019D14Rik"	0	NA	NA	NA	NA	NA
"1110020A21Rik"	0	NA	NA	NA	NA	NA
"1110025L11Rik"	0	NA	NA	NA	NA	NA
"1110028F11Rik"	0	NA	NA	NA	NA	NA
"1110028F18Rik"	0	NA	NA	NA	NA	NA
"1110032A03Rik"	0	NA	NA	NA	NA	NA
"1110032F04Rik"	0	NA	NA	NA	NA	NA
"1110034G24Rik"	0.25	-0.47960771046473	0.81320293761986	-0.58977616567456	0.555340723855808	0.994490002626217
"1110036E04Rik"	0	NA	NA	NA	NA	NA
"1110037F02Rik"	0.735491771707323	0.232558752637418	0.991672245754214	0.234511708513679	0.814587744519992	0.994490002626217
"1110038B12Rik"	0.73871829599276	0.263419772889026	1.0295135912048	0.255868183906884	0.798052622568172	0.994490002626217
"1110038F14Rik"	0	NA	NA	NA	NA	NA
"1110046J04Rik"	0	NA	NA	NA	NA	NA
"1110051M20Rik"	0.245972410139099	0.46969695175694	0.811720171105678	0.578643932326021	0.56282945488239	0.994490002626217
"1110054M08Rik"	0	NA	NA	NA	NA	NA
"1110057K04Rik"	0.245972410139099	0.46969695175694	0.811720171105678	0.578643932326021	0.56282945488239	0.994490002626217
"1110058L19Rik"	0.758701976356837	0.222880105605586	0.998021773760447	0.223321886821964	0.823284994148702	0.994490002626217
"1110059E24Rik"	0.242745885853662	0.468293135025991	0.810919419181774	0.577484179005732	0.563612423167137	0.994490002626217
"1110059G10Rik"	0.25	-0.47960771046473	0.81320293761986	-0.58977616567456	0.555340723855808	0.994490002626217
"1110065P20Rik"	0	NA	NA	NA	NA	NA
"1190002F15Rik"	0	NA	NA	NA	NA	NA
"1190002N15Rik"	0.78351431215728	-0.971090850541089	1.01225764570846	-0.959331702415977	0.337391669436303	0.994490002626217
"1190003K10Rik"	0	NA	NA	NA	NA	NA
